stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2313,華通,1.26,5.67,6.32,-9.04,-14.7,-2.86,17.98,-0.72,0.81,9.92,-1.05,1.11,7.69,-3.1,-0.16,49.74,52.65,38.93,7.17,7.59,5.34,,,False,False,False,False,False,False,False,2026-06-01 22:35:23,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:26
2317,鴻海,3.56,14.13,832.1,3.53,13.98,29.74,6.18,0.3,0.07,3.57,0.29,0.74,2.69,0.63,-0.1,20.85,20.85,14.16,2.31,2.31,1.51,,,False,False,False,False,False,False,False,2026-06-01 22:35:26,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:29
2327,國巨*,3.9,20.03,14.04,3.0,7.74,22.04,38.1,0.8,2.46,25.19,0.91,4.41,21.06,2.14,3.17,62.2,62.2,21.41,9.74,9.74,2.96,2026-05-26,2026-06-08,False,False,False,False,False,False,False,2026-06-01 22:35:29,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:32
2360,致茂,9.12,31.77,4.87,11.44,27.17,128.89,62.6,1.8,2.17,40.45,5.63,8.93,33.29,2.42,1.89,81.36,88.41,55.62,39.41,40.09,20.39,,,False,False,False,False,False,False,False,2026-06-01 22:35:32,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:35
2368,金像電,6.87,22.7,7.29,-1.29,21.18,58.41,34.81,1.15,3.51,26.85,2.55,5.77,18.04,0.18,3.51,59.82,77.85,47.61,19.43,22.34,13.66,,,False,False,False,False,False,False,False,2026-06-01 22:35:35,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:38
2382,廣達,5.5,19.88,339.92,-6.31,47.26,120.71,4.78,-1.55,-3.14,2.85,-0.91,-2.22,2.63,-0.87,-1.43,18.73,18.73,14.58,6.92,6.92,4.5,,,False,False,False,False,False,False,False,2026-06-01 22:35:38,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:41
2383,台光電,14.9,46.55,13.92,15.93,28.18,93.62,29.42,0.84,-0.98,21.56,1.76,0.62,16.15,1.16,0.16,109.98,119.41,68.13,37.89,41.14,19.78,,,False,False,False,False,False,False,False,2026-06-01 22:35:41,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:44
2402,毅嘉,0.07,1.96,1.07,-0.5,28.53,13.58,12.82,-6.98,-4.91,2.87,-6.11,-4.75,0.73,-6.15,-6.45,35.85,35.95,21.14,3.02,3.23,2.15,,,False,False,False,False,False,False,False,2026-06-01 22:35:44,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:47
2404,漢唐,16.31,53.84,8.11,5.39,34.55,102.23,23.32,6.13,0.11,19.57,5.69,0.53,15.22,2.35,-2.28,21.84,23.51,17.24,15.43,16.61,8.39,,,False,False,False,False,False,False,False,2026-06-01 22:35:47,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:50
2449,京元電子,1.87,7.37,3.74,4.03,11.08,34.56,39.74,2.08,6.24,27.2,-1.01,6.39,22.43,-0.13,-36.79,43.15,45.93,28.75,7.14,8.58,6.23,,,False,False,False,False,False,False,False,2026-06-01 22:35:50,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:53
