名稱,代碼,
信驊,5274,
宜鼎,5289,
萬潤,6187,
台燿,6274,
愛普*,6531,
均華,6640,
M31,6643,
緯穎,6669,
富世達,6805,
鴻勁,7769,
尖點,8021,
鈦昇,8027,
博智,8155,
群聯,8299,
